id,fiscal_year,function_,program,department,Type,Type_Detail,approved_amount,fund_type,exFund,ExpenseType,ObjectId
234,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Uniform & Clothing Purchases,40188,General,General,Expenditures,3949
235,2019,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - Radios & Pagers,11538,General,General,Expenditures,3961
236,2019,Culture and Recreation,,Parks and Recreation,Utilities,Gas,3214,General,General,Expenditures,3968
237,2019,Economic Development and Assistance,,Parks and Recreation,General Supplies,Computer Supplies,25000,Special Revenue,Special Revenue,Expenditures,3973
238,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Copying Charges,7346,General,General,Expenditures,3999
239,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Sponsorships,20000,Special Revenue,Special Revenue,Revenue,7606
240,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Donations,80000,Special Revenue,Special Revenue,Revenue,7615
241,2019,Economic Development and Assistance,,Parks and Recreation,Charges for Service,Charges For Labor/Material,40000,Special Revenue,Special Revenue,Revenue,7640
242,2019,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration,1916200,General,General,Revenue,7653
243,2019,Culture and Recreation,,Parks and Recreation,Charges for Service,Fee Waivers,-157500,Special Revenue,Special Revenue,Revenue,7657
244,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Equipment Rentals,28300,General,General,Revenue,7662
245,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Sponsorships,24000,Special Revenue,Special Revenue,Revenue,7705
246,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Fund Raising Events,500,General,General,Revenue,7711
247,2019,Culture and Recreation,,Parks and Recreation,Intergovernmental Revenue,Federal Grants,40000,Special Revenue,Special Revenue,Revenue,7715
248,2019,Welfare,,Parks and Recreation,Appropriated Fund Balance,Appropriated Fund Balance,104000,Special Revenue,Special Revenue,Revenue,7729
249,2019,Culture and Recreation,,Parks and Recreation,Charges for Service,Memberships,790000,General,General,Revenue,7732
250,2019,Culture and Recreation,,Parks and Recreation,Charges for Service,POS Sales,3400,General,General,Revenue,7742
251,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Donations,1770,General,General,Revenue,7745
252,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Other Reimbursements,15000,Special Revenue,Special Revenue,Revenue,7759
253,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Other Miscellaneous,500000,General,General,Revenue,7765
254,2019,Culture and Recreation,,Parks and Recreation,Charges for Service,Fee Waivers,-829000,General,General,Revenue,7813
255,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Light Fee Revenue,455000,Special Revenue,Special Revenue,Revenue,7832
256,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Donations,20,General,General,Revenue,7837
257,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Cash Over Or Short,-20,General,General,Revenue,7838
258,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Park Rentals,263071,General,General,Revenue,7843
259,2019,Economic Development and Assistance,,Parks and Recreation,Miscellaneous Revenue,Donations,150000,Special Revenue,Special Revenue,Revenue,7845
260,2019,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration,70000,Special Revenue,Special Revenue,Revenue,7863
261,2019,Culture and Recreation,,Parks and Recreation,Appropriated Fund Balance,Appropriated Fund Balance,33500,Special Revenue,Special Revenue,Revenue,7879
262,2019,Culture and Recreation,,Parks and Recreation,Intergovernmental Revenue,Federal Grants,100000,Special Revenue,Special Revenue,Revenue,7882
263,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Facility Rentals,8400,Special Revenue,Special Revenue,Revenue,7930
264,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Donations,7500,Special Revenue,Special Revenue,Revenue,7989
265,2019,Culture and Recreation,,Parks and Recreation,Charges for Service,Swimming Pool Fees,185000,General,General,Revenue,8002
266,2019,Economic Development and Assistance,,Parks and Recreation,Intergovernmental Revenue,Federal Grants,130000,Special Revenue,Special Revenue,Revenue,8004
267,2019,Culture and Recreation,,Parks and Recreation,Charges for Service,Miscellaneous Fees,100300,General,General,Revenue,8014
268,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Equipment Rentals,500,General,General,Revenue,8045
269,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Facility Rentals,86900,General,General,Revenue,8070
270,2019,Culture and Recreation,,Parks and Recreation,Charges for Service,POS Sales,37300,General,General,Revenue,8071
271,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Facility Rentals,10000,General,General,Revenue,8073
272,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Fund Raising Events,3180,General,General,Revenue,8084
273,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Donations,1300,General,General,Revenue,8091
274,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Facility Rentals,342787,General,General,Revenue,8107
275,2019,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration,120400,Special Revenue,Special Revenue,Revenue,8121
276,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Miscellaneous Rentals,297742,General,General,Revenue,8137
277,2019,Culture and Recreation,,Parks and Recreation,Interest Earnings,Interest On Investments,10000,Special Revenue,Special Revenue,Revenue,8142
278,2019,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration,110000,General,General,Revenue,8163
279,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Field Fees Revenue,2016592,Special Revenue,Special Revenue,Revenue,8168
280,2019,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration-Contra,-400,General,General,Revenue,8198
281,2019,Culture and Recreation,,Parks and Recreation,Charges for Service,Fee Waivers,-2496,Special Revenue,Special Revenue,Revenue,8215
282,2019,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration-Contra,-9400,General,General,Revenue,8246
283,2019,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration,3100,General,General,Revenue,8251
284,2019,Culture and Recreation,,Parks and Recreation,Taxes,Residential Park Construction Tax,800000,Capital Projects,Capital Projects,Revenue,8264
285,2019,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration-Contra,-1800,Special Revenue,Special Revenue,Revenue,8277
286,2019,Culture and Recreation,,Parks and Recreation,Charges for Service,Memberships,132000,General,General,Revenue,8283
287,2019,Culture and Recreation,,Parks and Recreation,Intergovernmental Revenue,State Grants,1500,Special Revenue,Special Revenue,Revenue,8298
288,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Park Rentals,114500,General,General,Revenue,8394
289,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Salaries and Wages,1787327,General,General,Expenditures,10948
290,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Hourly Wages,32240,General,General,Expenditures,10952
291,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Overtime,2160,General,General,Expenditures,10958
292,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Employee Retirement,523818,General,General,Expenditures,10964
293,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Medicare Insurance,27108,General,General,Expenditures,10970
294,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",OASDI,1999,General,General,Expenditures,10974
295,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Benefit Allocation,419063,General,General,Expenditures,10980
296,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Catering Services,2707,General,General,Expenditures,10986
297,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Boards & Commissions,132,General,General,Expenditures,10992
298,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Other Professional Services,2575,General,General,Expenditures,11040
299,2020,Culture and Recreation,,Parks and Recreation,Professional Services,DJ Services,467,General,General,Expenditures,11044
300,2020,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Basic,3214,General,General,Expenditures,11049
301,2020,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Long Distance,455,General,General,Expenditures,11054
302,2020,Culture and Recreation,,Parks and Recreation,Utilities,Electricity,25000,General,General,Expenditures,11059
303,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Postage & Shipping,5320,General,General,Expenditures,11064
304,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Travel,4395,General,General,Expenditures,11065
305,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Mileage Reimbursement,220,General,General,Expenditures,11066
306,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Training & Development,4396,General,General,Expenditures,11067
307,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Seminars/Outside Training Fees,2425,General,General,Expenditures,11068
308,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Guest Speaker Fees,3516,General,General,Expenditures,11069
309,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Printing & Reproduction,28000,General,General,Expenditures,11070
310,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Copying Charges,7100,General,General,Expenditures,11071
311,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Desktop Printer Charges,8746,General,General,Expenditures,11072
312,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Advertising,79934,General,General,Expenditures,11073
313,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Non-Employee Travel,2310,General,General,Expenditures,11074
314,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Meals & Entertainment,2525,General,General,Expenditures,11075
315,2020,Culture and Recreation,,Parks and Recreation,Maintenance & Repairs,Maintenance Of Software,14500,General,General,Expenditures,11076
316,2020,Culture and Recreation,,Parks and Recreation,Rentals,Rental Of Office Equipment,322,General,General,Expenditures,11077
317,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Dues & Subscriptions,16356,General,General,Expenditures,11078
318,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Alarm & Security Services,45424,General,General,Expenditures,11079
319,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Fleet Addition Expense,34000,General,General,Expenditures,11080
320,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,24754,General,General,Expenditures,11081
321,2020,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - City Vehicles,5016,General,General,Expenditures,11082
322,2020,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - Radios & Pagers,11834,General,General,Expenditures,11083
323,2020,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,PC Applications & Infrastructure,98443,General,General,Expenditures,11084
324,2020,Culture and Recreation,,Parks and Recreation,Liability Insurance,Vehicle Liability Insurance,360,General,General,Expenditures,11085
325,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Facility Charges,88371,General,General,Expenditures,11086
326,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Liability Insurance Charges,4914,General,General,Expenditures,11087
327,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Office Supplies,4480,General,General,Expenditures,11088
328,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Office Paper Products,2750,General,General,Expenditures,11089
329,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Computer Supplies,3829,General,General,Expenditures,11090
330,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Kitchen Utensils,2988,General,General,Expenditures,11201
331,2020,Culture and Recreation,,Parks and Recreation,General Supplies,RECTRAC System Supplies,4010,General,General,Expenditures,11202
332,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Uniform & Clothing Purchases,321,General,General,Expenditures,11203
333,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,9023,General,General,Expenditures,11204
334,2020,Culture and Recreation,,Parks and Recreation,Building Maintenance,Custodial Supplies,483,General,General,Expenditures,11206
335,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Awards/Trophies,264,General,General,Expenditures,11207
336,2020,Culture and Recreation,,Parks and Recreation,Building Maintenance,Building Repair Materials,220,General,General,Expenditures,11209
337,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Medical Supplies,176,General,General,Expenditures,11210
338,2020,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Gasoline,220,General,General,Expenditures,11212
339,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Groceries,4160,General,General,Expenditures,11213
340,2020,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Equipment Replacement,1318,General,General,Expenditures,11215
341,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Application Software,3836,General,General,Expenditures,11216
342,2020,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Small Tools & Equipment,903,General,General,Expenditures,11218
343,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Uniform & Clothing Purchases,17906,General,General,Expenditures,11219
344,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Facility Charges,1717643,General,General,Expenditures,11220
345,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Liability Insurance Charges,133902,General,General,Expenditures,11224
346,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Staff Uniforms,4591,General,General,Expenditures,11225
347,2020,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Alternative Fuels,1318,General,General,Expenditures,11228
348,2020,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Office Furnishings,1686,General,General,Expenditures,11231
349,2020,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Small Tools & Equipment,439,General,General,Expenditures,11234
350,2020,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Telephone Supplies,527,General,General,Expenditures,11237
351,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Salaries and Wages,3148694,General,General,Expenditures,11240
352,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Hourly Wages,2667071,General,General,Expenditures,11243
353,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Overtime,86400,General,General,Expenditures,11282
354,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Employee Retirement,924464,General,General,Expenditures,11288
355,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Medicare Insurance,86868,General,General,Expenditures,11292
356,2020,Culture and Recreation,,Parks and Recreation,Rentals,Laundry & Uniform Rental,2149,General,General,Expenditures,11295
357,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",OASDI,165358,General,General,Expenditures,11297
358,2020,Culture and Recreation,,Parks and Recreation,Rentals,Rental Of Films,191,General,General,Expenditures,11300
359,2020,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Diesel Fuel,1916,General,General,Expenditures,11301
360,2020,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Equipment Replacement,10531,General,General,Expenditures,11350
361,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Benefit Allocation,1067735,General,General,Expenditures,11352
362,2020,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Alternative Fuels,4905,General,General,Expenditures,11354
363,2020,Culture and Recreation,,Parks and Recreation,Rentals,Miscellaneous Rentals,39329,General,General,Expenditures,11356
364,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Catering Services,6167,General,General,Expenditures,11357
365,2020,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Office Furnishings,3829,General,General,Expenditures,11360
366,2020,Culture and Recreation,,Parks and Recreation,Rentals,Storage Units,191,General,General,Expenditures,11361
367,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Other Professional Services,32182,General,General,Expenditures,11362
368,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Sports Officials,35684,General,General,Expenditures,11363
369,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Field Trip Vendors,67377,General,General,Expenditures,11364
370,2020,Culture and Recreation,,Parks and Recreation,Professional Services,CPR Vendors,13945,General,General,Expenditures,11365
371,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Buses/Transportation,62156,General,General,Expenditures,11366
372,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Entertainment,447,General,General,Expenditures,11367
373,2020,Culture and Recreation,,Parks and Recreation,Professional Services,DJ Services,1755,General,General,Expenditures,11368
374,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Custodial Services,311,General,General,Expenditures,11369
375,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Artistic Services,1693,General,General,Expenditures,11370
376,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Contract Services,244,General,General,Expenditures,11371
377,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Permit Fees,4619,General,General,Expenditures,11372
378,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Video Production Services,96,General,General,Expenditures,11373
379,2020,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Basic,37767,General,General,Expenditures,11374
380,2020,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Long Distance,53,General,General,Expenditures,11375
381,2020,Culture and Recreation,,Parks and Recreation,Utilities,Electricity,2500,General,General,Expenditures,11376
382,2020,Culture and Recreation,,Parks and Recreation,Utilities,Waste Removal,775,General,General,Expenditures,11377
383,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,"Freight, Moving & Storage",2130,General,General,Expenditures,11378
384,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Postage & Shipping,2737,General,General,Expenditures,11379
385,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Travel,7125,General,General,Expenditures,11380
386,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Mileage Reimbursement,5263,General,General,Expenditures,11381
387,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Training & Development,1725,General,General,Expenditures,11382
388,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Seminars/Outside Training Fees,64,General,General,Expenditures,11383
389,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Guest Speaker Fees,64,General,General,Expenditures,11384
390,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Printing & Reproduction,15871,General,General,Expenditures,11385
391,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Copying Charges,21114,General,General,Expenditures,11386
392,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Desktop Printer Charges,7108,General,General,Expenditures,11387
393,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Advertising,342,General,General,Expenditures,11388
394,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Meals & Entertainment,48,General,General,Expenditures,11389
395,2020,Culture and Recreation,,Parks and Recreation,Maintenance & Repairs,Maintenance Of Facilities,3544,General,General,Expenditures,11390
396,2020,Culture and Recreation,,Parks and Recreation,Maintenance & Repairs,Maintenance Of Equipment,23404,General,General,Expenditures,11392
397,2020,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Small Tools & Equipment,11531,General,General,Expenditures,11393
398,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Dues & Subscriptions,4171,General,General,Expenditures,11396
399,2020,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Telephone Supplies,388,General,General,Expenditures,11398
400,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Alarm & Security Services,19201,General,General,Expenditures,11403
401,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,100000,General,General,Expenditures,11405
402,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Professional Certifications,594,General,General,Expenditures,11408
403,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Salaries and Wages,872287,General,General,Expenditures,11410
404,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,12846,General,General,Expenditures,11413
405,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Hourly Wages,251274,General,General,Expenditures,11415
406,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Permits,2838,General,General,Expenditures,11418
407,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Overtime,10800,General,General,Expenditures,11420
408,2020,Culture and Recreation,,Parks and Recreation,Insurance,Insurance & Bonds,20,General,General,Expenditures,11441
409,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Employee Retirement,256423,General,General,Expenditures,11442
410,2020,Culture and Recreation,,Parks and Recreation,Insurance,Premiums Paid,1111,General,General,Expenditures,11444
411,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Medicare Insurance,16809,General,General,Expenditures,11449
412,2020,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - City Vehicles,59301,General,General,Expenditures,11451
413,2020,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - Radios & Pagers,17898,General,General,Expenditures,11453
414,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",OASDI,15596,General,General,Expenditures,11456
415,2020,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,PC Applications & Infrastructure,568262,General,General,Expenditures,11457
416,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Benefit Allocation,265479,General,General,Expenditures,11490
417,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Other Professional Services,6265,General,General,Expenditures,11491
418,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Field Trip Vendors,6058,General,General,Expenditures,11492
419,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Buses/Transportation,6352,General,General,Expenditures,11493
420,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Permit Fees,176,General,General,Expenditures,11494
421,2020,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Basic,16003,General,General,Expenditures,11495
422,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,"Freight, Moving & Storage",134,General,General,Expenditures,11496
423,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Postage & Shipping,311,General,General,Expenditures,11497
424,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Mileage Reimbursement,2877,General,General,Expenditures,11498
425,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Printing & Reproduction,2521,General,General,Expenditures,11499
426,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Copying Charges,6401,General,General,Expenditures,11500
427,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Desktop Printer Charges,3881,General,General,Expenditures,11501
428,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Advertising,158,General,General,Expenditures,11502
429,2020,Culture and Recreation,,Parks and Recreation,Maintenance & Repairs,Maintenance Of Equipment,3041,General,General,Expenditures,11503
430,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Alarm & Security Services,6483,General,General,Expenditures,11504
431,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,6727,General,General,Expenditures,11505
432,2020,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Capital Recovery Expense,29090,General,General,Expenditures,11506
433,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Permits,318,General,General,Expenditures,11507
434,2020,Culture and Recreation,,Parks and Recreation,Liability Insurance,Vehicle Liability Insurance,4920,General,General,Expenditures,11508
435,2020,Culture and Recreation,,Parks and Recreation,Insurance,Premiums Paid,754,General,General,Expenditures,11509
436,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Facility Charges,3942440,General,General,Expenditures,11511
437,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Liability Insurance Charges,280649,General,General,Expenditures,11512
438,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Office Supplies,20499,General,General,Expenditures,11513
439,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Office Paper Products,6577,General,General,Expenditures,11514
440,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Computer Supplies,4343,General,General,Expenditures,11515
441,2020,Culture and Recreation,,Parks and Recreation,General Supplies,RECTRAC System Supplies,1005,General,General,Expenditures,11516
442,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,89166,General,General,Expenditures,11517
443,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Awards/Trophies,14294,General,General,Expenditures,11518
444,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Fitness Equipment,24254,General,General,Expenditures,11519
445,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Tables & Chairs,4959,General,General,Expenditures,11520
446,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Arts and Craft Supplies,16834,General,General,Expenditures,11521
447,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Sports Equipment,19519,General,General,Expenditures,11522
448,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Decorations,5649,General,General,Expenditures,11523
449,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Wheel Chairs/Adaptive Appliances,30,General,General,Expenditures,11524
450,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Costumes,9316,General,General,Expenditures,11525
451,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Landscaping Supplies,96,General,General,Expenditures,11526
452,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Photo & Duplicating Supplies,479,General,General,Expenditures,11527
453,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Medical Supplies,4395,General,General,Expenditures,11528
454,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Books & Maps,102,General,General,Expenditures,11529
455,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Groceries,41271,General,General,Expenditures,11530
456,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Lunch Programs,144,General,General,Expenditures,11531
457,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Community Events - Perishables,3277,General,General,Expenditures,11532
458,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Snack Programs,72,General,General,Expenditures,11533
459,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Water,1198,General,General,Expenditures,11534
460,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Kitchen Utensils,87,General,General,Expenditures,11535
461,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Uniform & Clothing Purchases,35432,General,General,Expenditures,11536
462,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Staff Uniforms,10531,General,General,Expenditures,11537
463,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Leagues & Tournaments,68997,General,General,Expenditures,11538
464,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Educational Supplies,7948,General,General,Expenditures,11539
465,2020,Culture and Recreation,,Parks and Recreation,Building Maintenance,Custodial Supplies,5183,General,General,Expenditures,11540
466,2020,Culture and Recreation,,Parks and Recreation,Building Maintenance,Paint Supplies,30,General,General,Expenditures,11541
467,2020,Culture and Recreation,,Parks and Recreation,Building Maintenance,Building Repair Materials,152,General,General,Expenditures,11542
468,2020,Culture and Recreation,,Parks and Recreation,Building Maintenance,Heat/AC Repair Materials,152,General,General,Expenditures,11543
469,2020,Culture and Recreation,,Parks and Recreation,Building Maintenance,Locksmith Supplies,1292,General,General,Expenditures,11544
470,2020,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - Radios & Pagers,900,General,General,Expenditures,11545
